,flat_street,flat_price,flat_room_count,flat_area,flat_district
4852,"Петра Калнишевського вул. (Майорова Михайла), 14",10900,1,38.0,Оболонський
4853,"Хрещатик вул., 23",44400,3,75.0,Печерський
4854,"Ракетна вул., 24",8000,1,23.0,Голосіївський
4855,"Десятинна вул., 7",20000,2,60.0,Шевченківський
4856,"Шота Руставелі вул., 44",35000,4,144.0,Печерський
4857,"Жилянська вул., 59",20000,2,67.0,Голосіївський
4858,"Правди просп., 41д",9500,1,39.0,Подільський
4859,"Нагірна вул., 18",19000,2,73.0,Шевченківський
4860,"Гонгадзе Георгiя просп. (Радянської України), 20д",8000,2,54.0,Подільський
4861,"Ясногірська вул., 16Г",15000,2,42.0,Шевченківський
4862,"Осокорська, 2А",16000,1,35.0,Дарницький
4863,"Харківське шосе, 148",7400,2,56.0,Дарницький
4864,"Булаховського академіка вул., 32",8000,2,48.0,Святошинський
4865,"Василя Тютюнника вул. (Барбюса Анрі), 51/1",17999,2,41.0,Печерський
4866,"Берестейський просп. (Перемоги), 42",51430,2,75.0,Шевченківський
4867,"Радунська вул., 28",5000,2,54.0,Деснянський
4868,"Бажана Миколи просп., 8",6000,1,34.0,Дарницький
4869,"Велика Васильківська вул. (Червоноармійська), 27",48100,2,75.0,Печерський
4870,"Голосіївський просп. (40-річчя Жовтня), 60",55500,3,130.0,Голосіївський
4871,"Червонопільська, 2Г",37000,2,90.0,Подільський
4872,"Самійла Кішки вул. (Конєва), 12А",17000,3,123.0,Голосіївський
4873,"Малишка Андрія вул., 21а",9500,3,70.0,Дніпровський
4874,"Вишняківська вул., 5б",8500,2,64.0,Дарницький
4875,"Ясногірська вул., 16г",12000,1,30.5,Шевченківський
4876,"Бажана Миколи просп., 1А",18000,1,50.0,Дарницький
4877,"Червоної Калини просп. (Маяковського Володимира), 42/13",8000,2,49.0,Деснянський
4878,"Руденко Лариси вул., 3Б",12000,4,90.0,Дарницький
4879,"Володимира Івасюка просп. (Героїв Сталінграда), 11 ",12000,2,52.0,Оболонський
4882,"Липківского Василя вул. (Урицького), 32",10000,2,54.0,Солом'янський
4883,"Липківского Василя вул. (Урицького), 11",12000,2,44.0,Солом'янський
4884,"Бажана Миколи просп., 36",14000,3,110.0,Дарницький
4885,"Васильківська вул., 100а",13500,1,30.0,Голосіївський
4886,"Тернопільська вул., 17",8000,2,48.0,Святошинський
4887,"Ентузіастів вул., 19/1",11000,3,70.0,Дніпровський
4888,"Лесі Українки бульв., 7б",38000,2,88.0,Печерський
4889,"Левандовська вул. (Аніщенка), 5",44400,3,120.0,Печерський
4890,"Окіпної Раїси вул., 4",14000,2,90.0,Дніпровський
4891,"Татарський пров., 8",13000,2,58.0,Шевченківський
4892,"Хрещатик вул., 15",37000,3,115.0,Печерський
4893,"Кубанської України вул. (Жукова маршала), 53",7000,2,50.0,Деснянський
4894,"Звіринецька вул., 59",44400,2,90.0,Печерський
4898,"Дмитрівська вул., 13",37000,3,130.0,Шевченківський
4899,"Донця Михайла вул., 2А",11000,1,42.0,Солом'янський
4900,"Бутишев пров. (Іванова Андрія вул.), 21",12000,2,50.0,Печерський
4902,"Панча Петра вул., 11-Б",9000,2,60.0,Оболонський
4903,"Верховної Ради бульв., 18",8000,3,56.0,Дніпровський
4904,"Євгена Коновальця вул. (Щорса), 44а",55000,3,160.0,Печерський
4905,"Юнацька вул., 6",18500,2,44.0,Святошинський
4906,"Велика Васильківська вул. (Червоноармійська), 29",25900,2,56.0,Печерський
4907,"Ахматової Анни вул., 31",14000,3,107.0,Дарницький
4908,"Проспект Перемоги, 55А",26000,2,65.0,Солом'янський
4909,"Пушиної Феодори вул., 49",8000,2,54.0,Святошинський
4910,"Регенераторна вул., 4к16",15000,2,45.0,Дніпровський
4911,"Інженера Бородіна вул. (Лазо Сергія), 5а",8500,2,54.0,Дніпровський
